bar_end,symbol,qty,open,high,low,close
1/1/2019 19:00,CLG9,2915,4580,4595,4572,4589
1/1/2019 20:00,CLG9,3959,4588,4592,4575,4587
1/1/2019 21:00,CLG9,15809,4587,4600,4541,4549
1/1/2019 22:00,CLG9,13485,4548,4560,4518,4531
1/1/2019 23:00,CLG9,7411,4530,4536,4510,4514
1/2/2019 0:00,CLG9,11173,4513,4515,4486,4498
1/2/2019 1:00,CLG9,15930,4499,4508,4448,4474
1/2/2019 2:00,CLG9,11808,4475,4497,4470,4483
1/2/2019 3:00,CLG9,10636,4482,4498,4475,4492
1/2/2019 4:00,CLG9,33401,4492,4495,4441,4470
1/2/2019 5:00,CLG9,20517,4471,4507,4461,4502
1/2/2019 6:00,CLG9,17031,4503,4512,4481,4481
1/2/2019 7:00,CLG9,13797,4482,4507,4477,4502
1/2/2019 8:00,CLG9,22770,4502,4521,4484,4484
1/2/2019 9:00,CLG9,31747,4484,4491,4457,4467
1/2/2019 10:00,CLG9,65693,4467,4492,4435,4489
1/2/2019 11:00,CLG9,168615,4488,4698,4488,4675
1/2/2019 12:00,CLG9,126711,4676,4778,4664,4716
1/2/2019 13:00,CLG9,47321,4716,4755,4713,4734
1/2/2019 14:00,CLG9,53413,4734,4743,4646,4677
1/2/2019 15:00,CLG9,58882,4677,4677,4628,4652
1/2/2019 16:00,CLG9,7975,4651,4664,4644,4663
1/2/2019 17:00,CLG9,4922,4663,4664,4628,4633
1/2/2019 19:00,CLG9,6936,4626,4635,4577,4580
1/2/2019 20:00,CLG9,8155,4580,4610,4570,4572
1/2/2019 21:00,CLG9,17361,4572,4604,4539,4601
1/2/2019 22:00,CLG9,10800,4601,4618,4569,4573
1/2/2019 23:00,CLG9,7565,4572,4580,4559,4561
1/3/2019 0:00,CLG9,6343,4561,4582,4556,4566
1/3/2019 1:00,CLG9,9652,4567,4569,4542,4565
1/3/2019 2:00,CLG9,7174,4565,4570,4550,4563
1/3/2019 3:00,CLG9,8361,4563,4575,4555,4558
1/3/2019 4:00,CLG9,29253,4559,4590,4535,4576
1/3/2019 5:00,CLG9,29765,4576,4624,4572,4600
1/3/2019 6:00,CLG9,22216,4600,4636,4589,4620
1/3/2019 7:00,CLG9,23597,4621,4656,4612,4644
1/3/2019 8:00,CLG9,26548,4643,4683,4642,4679
1/3/2019 9:00,CLG9,57979,4680,4745,4663,4722
1/3/2019 10:00,CLG9,79255,4723,4749,4672,4683
1/3/2019 11:00,CLG9,102592,4683,4683,4572,4599
1/3/2019 12:00,CLG9,99049,4599,4687,4597,4652
1/3/2019 13:00,CLG9,45646,4652,4695,4651,4678
1/3/2019 14:00,CLG9,39156,4677,4692,4643,4665
1/3/2019 15:00,CLG9,44559,4665,4726,4652,4699
1/3/2019 16:00,CLG9,12394,4698,4721,4689,4712
